Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
C308,1206,99.27mm,187.56mm,T,-90,15u,,
C309,1206,97.23mm,187.56mm,T,-90,15u,,
C310,1206,95.20mm,187.56mm,T,-90,15u,,
C311,1206,101.30mm,187.56mm,T,-90,15u,,
C312,0402-CAP,91.04mm,180.71mm,T,0,470n,,
C313,0402-CAP,91.52mm,179.44mm,T,0,2.2u,,
C314,0402-CAP,91.84mm,175.15mm,T,-90,0.1u,,
C315,0402-CAP,76.60mm,172.45mm,T,-90,0.1u,,
C316,LLL31,101.37mm,149.08mm,T,90,1u,,
C317,1210,103.13mm,149.60mm,T,90,22u,,
C318,1210,99.14mm,142.99mm,T,-90,22u,,
C319,1210,102.00mm,142.99mm,T,-90,22u,,
C320,1206,99.27mm,155.56mm,T,-90,15u,,
C321,1206,97.23mm,155.56mm,T,-90,15u,,
C322,1206,95.20mm,155.56mm,T,-90,15u,,
C323,1206,101.30mm,155.56mm,T,-90,15u,,
C324,0402-CAP,91.04mm,148.70mm,T,0,470n,,
C325,0402-CAP,91.52mm,147.43mm,T,0,2.2u,,
C326,0402-CAP,91.84mm,143.15mm,T,-90,0.1u,,
C327,0402-CAP,76.60mm,140.45mm,T,-90,,,
D145,SOD-323,98.06mm,3.13mm,T,-90,250mA/100V,,
D147,SMA-DIODE,91.31mm,27.38mm,T,180,B340A,,
D149,SMA-DIODE,91.39mm,11.57mm,T,180,B340A,,
D150,LED-0603,45.04mm,144.57mm,T,90,GREEN,,
D151,LED-0603,56.15mm,180.45mm,T,90,GREEN,,
D152,LED-0603,56.15mm,184.26mm,T,90,RED,,
D153,LED-0603,77.58mm,54.72mm,T,180,RED,,
D154,LED-0603,56.15mm,161.24mm,T,0,RED,,
D155,LED-0603,106.16mm,32.50mm,T,90,GREEN,,
D156,LED-0603,108.38mm,8.53mm,T,-90,RED,,
D157,SOD-323,47.74mm,154.10mm,T,-90,250mA/100V,,
D162,SOD-323,29.16mm,89.96mm,T,-90,BAT20J,,
D163,SOD-323,27.58mm,89.96mm,T,90,BAT20J,,
D165,LED-0603,69.34mm,113.87mm,T,0,GREEN,,
D166,LED-0603,69.17mm,96.55mm,T,0,GREEN,,
D169,LED-0603,52.02mm,12.56mm,T,90,GREEN,,
D170,LED-0603,77.93mm,12.56mm,T,90,GREEN,,
F1,PTC0805,96.28mm,30.70mm,T,180,,,
F2,PTC0805,96.06mm,10.25mm,T,180,,,
FB1,_0603MP,54.56mm,141.08mm,T,-90,BLM18PG471SN1,,
FB2,_0603MP,98.06mm,36.78mm,T,180,BLM18PG471SN1,,
FB3,_0603MP,80.92mm,46.78mm,T,180,BLM18PG471SN1,,
FD1,FIDUCIAL,2.33mm,-12.79mm,T,0,FIDUCIAL,,
FD2,FIDUCIAL,99.26mm,-13.31mm,T,0,FIDUCIAL,,
FD3,FIDUCIAL,-46.99mm,200.59mm,T,0,FIDUCIAL,,
FD5,FIDUCIAL,97.46mm,201.37mm,T,0,FIDUCIAL,,
IC3,SO08,2.81mm,-0.52mm,T,180,OPA237U,1,
IC6,SO08,2.81mm,12.18mm,T,180,OPA237U,2,
IC9,SO08,2.81mm,24.88mm,T,180,OPA237U,3,
IC12,SO08,2.81mm,37.58mm,T,180,OPA237U,4,
IC15,SO08,2.81mm,50.28mm,T,180,OPA237U,5,
IC18,SO08,2.81mm,62.98mm,T,180,OPA237U,6,
IC21,SO08,2.81mm,75.68mm,T,180,OPA237U,7,
IC24,SO08,2.81mm,88.38mm,T,180,OPA237U,8,
IC27,SO08,2.81mm,101.08mm,T,180,OPA237U,9,
IC30,SO08,2.81mm,113.78mm,T,180,OPA237U,10,
IC33,SO08,2.81mm,126.48mm,T,180,OPA237U,11,
IC36,SO08,2.81mm,139.18mm,T,180,OPA237U,12,
IC39,SO08,2.81mm,151.88mm,T,180,OPA237U,13,
IC42,SO08,2.81mm,164.58mm,T,180,OPA237U,14,
IC45,SO08,2.81mm,177.28mm,T,180,OPA237U,15,
IC48,SO08,2.81mm,189.98mm,T,180,OPA237U,16,
IC49,SOT23-5,46.63mm,71.07mm,T,180,OPA137,,
JP3,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,4.87mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP6,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,17.57mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP9,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,30.27mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP12,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,42.97mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP15,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,55.67mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP18,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,68.37mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP21,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,81.07mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP24,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,93.77mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP27,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,106.47mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP30,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,119.17mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP33,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,131.87mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP36,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,144.57mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP39,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,157.27mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP42,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,169.97mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP45,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,182.67mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP48,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-3.54mm,195.37mm,T,0,JUMPER-PAD-3-NC_BY_PASTE,,
JP49,PAD-JUMPER-2-NC_BY_PASTE_YES_SILK_FULL_BOX,-28.23mm,-12.83mm,T,0,JUMPER-PAD-2-NC_BY_PASTEFULL-BOX-SILK,,
K17,SOP04,83.14mm,28.37mm,T,-90,AQY41SOP,,
K20,SOP08,95.90mm,74.31mm,T,-90,AQW21SOP,,
L1,2014,96.56mm,27.16mm,T,90,COMMONMODEFILTER2014,,
L2,CR54,91.20mm,22.49mm,T,0,47uH,,
L3,2014,96.39mm,13.80mm,T,90,COMMONMODEFILTER2014,,
L4,CR54,91.20mm,16.21mm,T,180,47uH,,
L5,PA0513/PA1513,81.42mm,183.69mm,T,180,PA0513/PA1513,,
L6,PA0513/PA1513,81.42mm,151.69mm,T,180,PA0513/PA1513,,
LED1,CHIPLED_0603,-6.71mm,-4.33mm,T,180,GREEN,,
LED2,CHIPLED_0603,-6.71mm,8.37mm,T,180,GREEN,,
LED3,CHIPLED_0603,-6.71mm,21.07mm,T,180,GREEN,,
LED4,CHIPLED_0603,-6.71mm,33.77mm,T,180,GREEN,,
LED5,CHIPLED_0603,-6.71mm,46.47mm,T,180,GREEN,,
LED6,CHIPLED_0603,-6.71mm,59.17mm,T,180,GREEN,,
LED7,CHIPLED_0603,-6.71mm,71.87mm,T,180,GREEN,,
LED8,CHIPLED_0603,-6.71mm,84.57mm,T,180,GREEN,,
LED9,CHIPLED_0603,-6.71mm,97.27mm,T,180,GREEN,,
LED10,CHIPLED_0603,-6.71mm,109.97mm,T,180,GREEN,,
LED11,CHIPLED_0603,-6.71mm,122.67mm,T,180,GREEN,,
LED12,CHIPLED_0603,-6.71mm,135.37mm,T,180,GREEN,,
LED13,CHIPLED_0603,-6.71mm,148.07mm,T,180,GREEN,,
LED14,CHIPLED_0603,-6.71mm,160.77mm,T,180,GREEN,,
LED15,CHIPLED_0603,-6.71mm,173.47mm,T,180,GREEN,,
LED16,CHIPLED_0603,-6.71mm,186.17mm,T,180,GREEN,,
Q1,SOT23-3,-2.90mm,-4.33mm,T,90,MOSFET-NCHANNELAO3404A,1,
Q2,SOT23-3,-2.90mm,8.37mm,T,90,MOSFET-NCHANNELAO3404A,2,
Q3,SOT23-3,-2.90mm,21.07mm,T,90,MOSFET-NCHANNELAO3404A,3,
Q4,SOT23-3,-2.90mm,33.77mm,T,90,MOSFET-NCHANNELAO3404A,4,
Q5,SOT23-3,-2.90mm,46.47mm,T,90,MOSFET-NCHANNELAO3404A,5,
Q6,SOT23-3,-2.90mm,59.17mm,T,90,MOSFET-NCHANNELAO3404A,6,
Q7,SOT23-3,-2.90mm,71.87mm,T,90,MOSFET-NCHANNELAO3404A,7,
Q8,SOT23-3,-2.90mm,84.57mm,T,90,MOSFET-NCHANNELAO3404A,8,
Q9,SOT23-3,-2.90mm,97.27mm,T,90,MOSFET-NCHANNELAO3404A,9,
Q10,SOT23-3,-2.90mm,109.97mm,T,90,MOSFET-NCHANNELAO3404A,10,
Q11,SOT23-3,-2.90mm,122.67mm,T,90,MOSFET-NCHANNELAO3404A,11,
Q12,SOT23-3,-2.90mm,135.37mm,T,90,MOSFET-NCHANNELAO3404A,12,
Q13,SOT23-3,-2.90mm,148.07mm,T,90,MOSFET-NCHANNELAO3404A,13,
Q14,SOT23-3,-2.90mm,160.77mm,T,90,MOSFET-NCHANNELAO3404A,14,
Q15,SOT23-3,-2.90mm,173.47mm,T,90,MOSFET-NCHANNELAO3404A,15,
Q16,SOT23-3,-2.90mm,186.17mm,T,90,MOSFET-NCHANNELAO3404A,16,
Q17,SOT23-3,93.46mm,4.87mm,T,0,P-CHANNEL-MOSFET,,
Q18,DPAK,83.30mm,16.30mm,T,180,MOSFET-NCHANNELFDD8780,,
Q19,SOT23-3,95.20mm,1.22mm,T,90,MOSFET-NCHANNELAO3404A,,
Q20,SOT23-3,97.43mm,6.30mm,T,90,MOSFET-NCHANNELAO3404A,,
Q21,SOT23-3,91.87mm,64.88mm,T,90,MOSFET-NCHANNELAO3404A,,
Q22,SOT23-3,75.20mm,54.56mm,T,90,MOSFET-NCHANNELAO3404A,,
Q23,FC-12M,50.91mm,143.46mm,T,90,FC-12M,,
Q24,SOT23-3,48.85mm,135.37mm,T,-90,MOSFET-NCHANNELAO3404A,,
Q25,SOT23-3,30.12mm,25.99mm,T,180,MOSFET-NCHANNELAO3404A,,
Q26,SOT23-3,30.12mm,22.02mm,T,180,MOSFET-NCHANNELAO3404A,,
Q27,FC-12M,81.55mm,49.32mm,T,90,FC-12M,,
Q28,SOT23-3,69.96mm,30.91mm,T,90,MMBT5088,,
Q29,SOT23-3,64.25mm,30.75mm,T,90,MMBT5088,,
Q33,SOT23-3,60.91mm,188.39mm,T,180,MOSFET-NCHANNELAO3404A,,
Q34,SOT23-3,47.90mm,188.39mm,T,180,MOSFET-NCHANNELAO3404A,,
R3,0402-RES,-0.21mm,5.03mm,T,0,10k,1,
R4,0402-RES,-5.44mm,-4.33mm,T,-90,10k,1,
R6,0402-RES,6.62mm,1.06mm,T,0,10k,1,
R8,0402-RES,-0.36mm,-4.33mm,T,-90,100k,1,
R9,0402-RES,10.43mm,2.02mm,T,180,250,1,
R10,0402-RES,-2.59mm,-1.95mm,T,180,0,1,
R11,2512,-13.38mm,5.35mm,T,180,0.001,1,
R13,0402-RES,-3.46mm,2.49mm,T,180,10k,1,RF1
R14,0402-RES,-4.17mm,0.27mm,T,-90,10k,1,RG1
R17,0402-RES,-5.92mm,0.91mm,T,180,250,1,RUG1
R20,0402-RES,-0.21mm,17.73mm,T,0,10k,2,
R21,0402-RES,-5.44mm,8.37mm,T,-90,10k,2,
R23,0402-RES,6.62mm,13.76mm,T,0,10k,2,
R25,0402-RES,-0.36mm,8.37mm,T,-90,100k,2,
R26,0402-RES,10.43mm,14.72mm,T,180,250,2,
R27,0402-RES,-2.59mm,10.75mm,T,180,0,2,
R28,2512,-13.38mm,18.05mm,T,180,0.001,2,
R30,0402-RES,-3.46mm,15.19mm,T,180,250,2,RF2
R31,0402-RES,-4.17mm,12.97mm,T,-90,10k,2,RG2
R34,0402-RES,-5.92mm,13.61mm,T,180,250,2,RUG2
R37,0402-RES,-0.21mm,30.43mm,T,0,10k,3,
R38,0402-RES,-5.44mm,21.07mm,T,-90,10k,3,
R40,0402-RES,6.62mm,26.46mm,T,0,10k,3,
R42,0402-RES,-0.36mm,21.07mm,T,-90,100k,3,
R43,0402-RES,10.43mm,27.42mm,T,180,250,3,
R44,0402-RES,-2.59mm,23.45mm,T,180,0,3,
R45,2512,-13.38mm,30.75mm,T,180,0.001,3,
R47,0402-RES,-3.46mm,27.89mm,T,180,250,3,RF3
R48,0402-RES,-4.17mm,25.67mm,T,-90,10k,3,RG3
R51,0402-RES,-5.92mm,26.31mm,T,180,250,3,RUG3
R54,0402-RES,-0.21mm,43.13mm,T,0,10k,4,
R55,0402-RES,-5.44mm,33.77mm,T,-90,10k,4,
R57,0402-RES,6.62mm,39.16mm,T,0,10k,4,
R59,0402-RES,-0.36mm,33.77mm,T,-90,100k,4,
R60,0402-RES,10.43mm,40.12mm,T,180,250,4,
R61,0402-RES,-2.59mm,36.15mm,T,180,0,4,
R62,2512,-13.38mm,43.45mm,T,180,0.001,4,
R64,0402-RES,-3.46mm,40.59mm,T,180,250,4,RF4
R65,0402-RES,-4.17mm,38.37mm,T,-90,10k,4,RG4
R68,0402-RES,-5.92mm,39.01mm,T,180,250,4,RUG4
R71,0402-RES,-0.21mm,55.83mm,T,0,10k,5,
R72,0402-RES,-5.44mm,46.47mm,T,-90,10k,5,
R74,0402-RES,6.62mm,51.86mm,T,0,10k,5,
R76,0402-RES,-0.36mm,46.47mm,T,-90,100k,5,
R77,0402-RES,10.43mm,52.82mm,T,180,250,5,
R78,0402-RES,-2.59mm,48.85mm,T,180,0,5,
R79,2512,-13.38mm,56.15mm,T,180,0.001,5,
R81,0402-RES,-3.46mm,53.29mm,T,180,250,5,RF5
R82,0402-RES,-4.17mm,51.07mm,T,-90,10k,5,RG5
R85,0402-RES,-5.92mm,51.70mm,T,180,250,5,RUG5
R88,0402-RES,-0.21mm,68.53mm,T,0,10k,6,
R89,0402-RES,-5.44mm,59.17mm,T,-90,10k,6,
R91,0402-RES,6.62mm,64.56mm,T,0,10k,6,
R93,0402-RES,-0.36mm,59.17mm,T,-90,100k,6,
R94,0402-RES,10.43mm,65.52mm,T,180,250,6,
R95,0402-RES,-2.59mm,61.55mm,T,180,0,6,
R96,2512,-13.38mm,68.85mm,T,180,0.001,6,
R98,0402-RES,-3.46mm,65.99mm,T,180,250,6,RF6
R99,0402-RES,-4.17mm,63.77mm,T,-90,10k,6,RG6
R102,0402-RES,-5.92mm,64.41mm,T,180,250,6,RUG6
R105,0402-RES,-0.21mm,81.23mm,T,0,10k,7,
R106,0402-RES,-5.44mm,71.87mm,T,-90,10k,7,
R108,0402-RES,6.62mm,77.26mm,T,0,10k,7,
R110,0402-RES,-0.36mm,71.87mm,T,-90,100k,7,
R111,0402-RES,10.43mm,78.22mm,T,180,250,7,
R112,0402-RES,-2.59mm,74.25mm,T,180,0,7,
R113,2512,-13.38mm,81.55mm,T,180,0.001,7,
R115,0402-RES,-3.46mm,78.69mm,T,180,250,7,RF7
R116,0402-RES,-4.17mm,76.47mm,T,-90,10k,7,RG7
R119,0402-RES,-5.92mm,77.11mm,T,180,250,7,RUG7
R122,0402-RES,-0.21mm,93.93mm,T,0,10k,8,
R123,0402-RES,-5.44mm,84.57mm,T,-90,10k,8,
R125,0402-RES,6.62mm,89.96mm,T,0,10k,8,
R127,0402-RES,-0.36mm,84.57mm,T,-90,100k,8,
R128,0402-RES,10.43mm,90.92mm,T,180,250,8,
R129,0402-RES,-2.59mm,86.95mm,T,180,0,8,
R130,2512,-13.38mm,94.25mm,T,180,0.001,8,
R132,0402-RES,-3.46mm,91.39mm,T,180,250,8,RF8
R133,0402-RES,-4.17mm,89.17mm,T,-90,10k,8,RG8
R136,0402-RES,-5.92mm,89.81mm,T,180,250,8,RUG8
R139,0402-RES,-0.21mm,106.63mm,T,0,10k,9,
R140,0402-RES,-5.44mm,97.27mm,T,-90,10k,9,
R142,0402-RES,6.62mm,102.66mm,T,0,10k,9,
R144,0402-RES,-0.36mm,97.27mm,T,-90,100k,9,
R145,0402-RES,10.43mm,103.62mm,T,180,250,9,
R146,0402-RES,-2.59mm,99.65mm,T,180,0,9,
R147,2512,-13.38mm,106.95mm,T,180,0.001,9,
